latitude,longitude,total_forecasts,total_busts,bust_frequency
11.0,87.0,50,10,0.2
11.0,88.0,50,6,0.12
11.0,89.0,50,9,0.18
11.0,90.0,50,6,0.12
11.0,91.0,50,6,0.12
11.0,92.0,50,8,0.16
11.0,93.0,50,6,0.12
11.0,94.0,50,3,0.06
11.0,95.0,50,4,0.08
11.0,96.0,50,3,0.06
11.0,97.0,50,4,0.08
12.0,68.0,50,5,0.1
12.0,69.0,50,4,0.08
12.0,70.0,50,6,0.12
12.0,71.0,50,6,0.12
12.0,72.0,50,6,0.12
12.0,73.0,50,6,0.12
12.0,74.0,50,4,0.08
12.0,75.0,50,3,0.06
12.0,76.0,50,3,0.06
12.0,77.0,50,5,0.1
12.0,78.0,50,5,0.1
12.0,79.0,50,4,0.08
12.0,80.0,50,7,0.14
12.0,81.0,50,4,0.08
12.0,82.0,50,8,0.16
12.0,83.0,50,6,0.12
12.0,84.0,50,4,0.08
12.0,85.0,50,4,0.08
12.0,86.0,50,4,0.08
12.0,87.0,50,4,0.08
12.0,88.0,50,5,0.1
12.0,89.0,50,4,0.08
12.0,90.0,50,3,0.06
12.0,91.0,50,6,0.12
12.0,92.0,50,6,0.12
12.0,93.0,50,4,0.08
12.0,94.0,50,6,0.12
12.0,95.0,50,3,0.06
12.0,96.0,50,6,0.12
12.0,97.0,50,6,0.12
13.0,68.0,50,6,0.12
13.0,69.0,50,2,0.04
13.0,70.0,50,6,0.12
13.0,71.0,50,8,0.16
13.0,72.0,50,2,0.04
13.0,73.0,50,9,0.18
13.0,74.0,50,9,0.18
13.0,75.0,50,6,0.12
13.0,76.0,50,7,0.14
13.0,77.0,50,9,0.18
13.0,78.0,50,5,0.1
13.0,79.0,50,7,0.14
13.0,80.0,50,2,0.04
13.0,81.0,50,5,0.1
13.0,82.0,50,8,0.16
13.0,83.0,50,2,0.04
13.0,84.0,50,3,0.06
13.0,85.0,50,5,0.1
13.0,86.0,50,6,0.12
13.0,87.0,50,5,0.1
13.0,88.0,50,3,0.06
13.0,89.0,50,4,0.08
13.0,90.0,50,8,0.16
13.0,91.0,50,7,0.14
13.0,92.0,50,4,0.08
13.0,93.0,50,4,0.08
13.0,94.0,50,7,0.14
13.0,95.0,50,2,0.04
13.0,96.0,50,6,0.12
13.0,97.0,50,1,0.02
14.0,68.0,50,3,0.06
14.0,69.0,50,6,0.12
14.0,70.0,50,4,0.08
14.0,71.0,50,7,0.14
14.0,72.0,50,6,0.12
14.0,73.0,50,4,0.08
14.0,74.0,50,4,0.08
14.0,75.0,50,3,0.06
14.0,76.0,50,4,0.08
14.0,77.0,50,4,0.08
14.0,78.0,50,7,0.14
14.0,79.0,50,3,0.06
14.0,80.0,50,2,0.04
14.0,81.0,50,9,0.18
14.0,82.0,50,3,0.06
14.0,83.0,50,8,0.16
14.0,84.0,50,2,0.04
14.0,85.0,50,7,0.14
14.0,86.0,50,4,0.08
14.0,87.0,50,8,0.16
14.0,88.0,50,3,0.06
14.0,89.0,50,4,0.08
14.0,90.0,50,5,0.1
14.0,91.0,50,6,0.12
14.0,92.0,50,4,0.08
14.0,93.0,50,5,0.1
14.0,94.0,50,3,0.06
14.0,95.0,50,6,0.12
14.0,96.0,50,4,0.08
14.0,97.0,50,9,0.18
15.0,68.0,50,9,0.18
15.0,69.0,50,4,0.08
15.0,70.0,50,4,0.08
15.0,71.0,50,7,0.14
15.0,72.0,50,8,0.16
15.0,73.0,50,2,0.04
15.0,74.0,50,5,0.1
15.0,75.0,50,8,0.16
15.0,76.0,50,3,0.06
15.0,77.0,50,4,0.08
15.0,78.0,50,3,0.06
15.0,79.0,50,6,0.12
15.0,80.0,50,3,0.06
15.0,81.0,50,10,0.2
15.0,82.0,50,7,0.14
15.0,83.0,50,5,0.1
15.0,84.0,50,10,0.2
15.0,85.0,50,4,0.08
15.0,86.0,50,7,0.14
15.0,87.0,50,8,0.16
15.0,88.0,50,5,0.1
15.0,89.0,50,2,0.04
15.0,90.0,50,6,0.12
15.0,91.0,50,5,0.1
15.0,92.0,50,2,0.04
15.0,93.0,50,5,0.1
15.0,94.0,50,5,0.1
15.0,95.0,50,6,0.12
15.0,96.0,50,4,0.08
15.0,97.0,50,3,0.06
16.0,68.0,50,7,0.14
16.0,69.0,50,6,0.12
16.0,70.0,50,7,0.14
16.0,71.0,50,2,0.04
16.0,72.0,50,1,0.02
16.0,73.0,50,6,0.12
16.0,74.0,50,2,0.04
16.0,75.0,50,4,0.08
16.0,76.0,50,8,0.16
16.0,77.0,50,8,0.16
16.0,78.0,50,7,0.14
16.0,79.0,50,7,0.14
16.0,80.0,50,4,0.08
16.0,81.0,50,4,0.08
16.0,82.0,50,6,0.12
16.0,83.0,50,5,0.1
16.0,84.0,50,6,0.12
16.0,85.0,50,4,0.08
16.0,86.0,50,8,0.16
16.0,87.0,50,5,0.1
16.0,88.0,50,7,0.14
16.0,89.0,50,1,0.02
16.0,90.0,50,7,0.14
16.0,91.0,50,5,0.1
16.0,92.0,50,4,0.08
16.0,93.0,50,6,0.12
16.0,94.0,50,6,0.12
16.0,95.0,50,5,0.1
16.0,96.0,50,5,0.1
16.0,97.0,50,5,0.1
17.0,68.0,50,3,0.06
17.0,69.0,50,5,0.1
17.0,70.0,50,5,0.1
17.0,71.0,50,2,0.04
17.0,72.0,50,6,0.12
17.0,73.0,50,9,0.18
17.0,74.0,50,5,0.1
17.0,75.0,50,9,0.18
17.0,76.0,50,2,0.04
17.0,77.0,50,6,0.12
17.0,78.0,50,4,0.08
17.0,79.0,50,2,0.04
17.0,80.0,50,4,0.08
17.0,81.0,50,2,0.04
17.0,82.0,50,3,0.06
17.0,83.0,50,9,0.18
17.0,84.0,50,2,0.04
17.0,85.0,50,3,0.06
17.0,86.0,50,4,0.08
17.0,87.0,50,1,0.02
17.0,88.0,50,5,0.1
17.0,89.0,50,3,0.06
17.0,90.0,50,3,0.06
17.0,91.0,50,6,0.12
17.0,92.0,50,5,0.1
17.0,93.0,50,6,0.12
17.0,94.0,50,4,0.08
17.0,95.0,50,5,0.1
17.0,96.0,50,2,0.04
17.0,97.0,50,4,0.08
18.0,68.0,50,2,0.04
18.0,69.0,50,7,0.14
18.0,70.0,50,5,0.1
18.0,71.0,50,7,0.14
18.0,72.0,50,1,0.02
18.0,73.0,50,5,0.1
18.0,74.0,50,1,0.02
18.0,75.0,50,5,0.1
18.0,76.0,50,6,0.12
18.0,77.0,50,5,0.1
18.0,78.0,50,8,0.16
18.0,79.0,50,5,0.1
18.0,80.0,50,6,0.12
18.0,81.0,50,8,0.16
18.0,82.0,50,5,0.1
18.0,83.0,50,6,0.12
18.0,84.0,50,5,0.1
18.0,85.0,50,6,0.12
18.0,86.0,50,3,0.06
18.0,87.0,50,2,0.04
18.0,88.0,50,3,0.06
18.0,89.0,50,4,0.08
18.0,90.0,50,7,0.14
18.0,91.0,50,8,0.16
18.0,92.0,50,8,0.16
18.0,93.0,50,6,0.12
18.0,94.0,50,8,0.16
18.0,95.0,50,1,0.02
18.0,96.0,50,8,0.16
18.0,97.0,50,3,0.06
19.0,68.0,50,6,0.12
19.0,69.0,50,4,0.08
19.0,70.0,50,3,0.06
19.0,71.0,50,4,0.08
19.0,72.0,50,4,0.08
19.0,73.0,50,6,0.12
19.0,74.0,50,3,0.06
19.0,75.0,50,5,0.1
19.0,76.0,50,4,0.08
19.0,77.0,50,5,0.1
19.0,78.0,50,3,0.06
19.0,79.0,50,3,0.06
19.0,80.0,50,5,0.1
19.0,81.0,50,6,0.12
19.0,82.0,50,5,0.1
19.0,83.0,50,4,0.08
19.0,84.0,50,3,0.06
19.0,85.0,50,3,0.06
19.0,86.0,50,6,0.12
19.0,87.0,50,4,0.08
19.0,88.0,50,2,0.04
19.0,89.0,50,5,0.1
19.0,90.0,50,6,0.12
19.0,91.0,50,6,0.12
19.0,92.0,50,4,0.08
19.0,93.0,50,5,0.1
19.0,94.0,50,7,0.14
19.0,95.0,50,6,0.12
19.0,96.0,50,4,0.08
19.0,97.0,50,4,0.08
20.0,68.0,50,4,0.08
20.0,69.0,50,3,0.06
20.0,70.0,50,6,0.12
20.0,71.0,50,8,0.16
20.0,72.0,50,5,0.1
20.0,73.0,50,5,0.1
20.0,74.0,50,4,0.08
20.0,75.0,50,9,0.18
20.0,76.0,50,5,0.1
20.0,77.0,50,2,0.04
20.0,78.0,50,9,0.18
20.0,79.0,50,6,0.12
20.0,80.0,50,3,0.06
20.0,81.0,50,9,0.18
20.0,82.0,50,7,0.14
20.0,83.0,50,3,0.06
20.0,84.0,50,4,0.08
20.0,85.0,50,3,0.06
20.0,86.0,50,7,0.14
20.0,87.0,50,6,0.12
20.0,88.0,50,3,0.06
20.0,89.0,50,7,0.14
20.0,90.0,50,1,0.02
20.0,91.0,50,4,0.08
20.0,92.0,50,10,0.2
20.0,93.0,50,4,0.08
20.0,94.0,50,4,0.08
20.0,95.0,50,6,0.12
20.0,96.0,50,2,0.04
20.0,97.0,50,8,0.16
21.0,68.0,50,6,0.12
21.0,69.0,50,5,0.1
21.0,70.0,50,9,0.18
21.0,71.0,50,9,0.18
21.0,72.0,50,6,0.12
21.0,73.0,50,4,0.08
21.0,74.0,50,3,0.06
21.0,75.0,50,4,0.08
21.0,76.0,50,2,0.04
21.0,77.0,50,4,0.08
21.0,78.0,50,4,0.08
21.0,79.0,50,5,0.1
21.0,80.0,50,5,0.1
21.0,81.0,50,4,0.08
21.0,82.0,50,2,0.04
21.0,83.0,50,4,0.08
21.0,84.0,50,7,0.14
21.0,85.0,50,7,0.14
21.0,86.0,50,7,0.14
21.0,87.0,50,2,0.04
21.0,88.0,50,8,0.16
21.0,89.0,50,2,0.04
21.0,90.0,50,6,0.12
21.0,91.0,50,4,0.08
21.0,92.0,50,4,0.08
21.0,93.0,50,3,0.06
21.0,94.0,50,5,0.1
21.0,95.0,50,2,0.04
21.0,96.0,50,4,0.08
21.0,97.0,50,11,0.22
22.0,68.0,50,3,0.06
22.0,69.0,50,3,0.06
22.0,70.0,50,7,0.14
22.0,71.0,50,3,0.06
22.0,72.0,50,4,0.08
22.0,73.0,50,4,0.08
22.0,74.0,50,2,0.04
22.0,75.0,50,2,0.04
22.0,76.0,50,7,0.14
22.0,77.0,50,4,0.08
22.0,78.0,50,3,0.06
22.0,79.0,50,4,0.08
22.0,80.0,50,5,0.1
22.0,81.0,50,3,0.06
22.0,82.0,50,8,0.16
22.0,83.0,50,10,0.2
22.0,84.0,50,2,0.04
22.0,85.0,50,6,0.12
22.0,86.0,50,5,0.1
22.0,87.0,50,8,0.16
22.0,88.0,50,3,0.06
22.0,89.0,50,4,0.08
22.0,90.0,50,4,0.08
22.0,91.0,50,5,0.1
22.0,92.0,50,3,0.06
22.0,93.0,50,6,0.12
22.0,94.0,50,2,0.04
22.0,95.0,50,5,0.1
22.0,96.0,50,4,0.08
22.0,97.0,50,8,0.16
23.0,68.0,50,7,0.14
23.0,69.0,50,5,0.1
23.0,70.0,50,9,0.18
23.0,71.0,50,4,0.08
23.0,72.0,50,9,0.18
23.0,73.0,50,4,0.08
23.0,74.0,50,4,0.08
23.0,75.0,50,6,0.12
23.0,76.0,50,6,0.12
23.0,77.0,50,6,0.12
23.0,78.0,50,2,0.04
23.0,79.0,50,4,0.08
23.0,80.0,50,6,0.12
23.0,81.0,50,10,0.2
23.0,82.0,50,6,0.12
23.0,83.0,50,4,0.08
23.0,84.0,50,6,0.12
23.0,85.0,50,4,0.08
23.0,86.0,50,5,0.1
23.0,87.0,50,7,0.14
23.0,88.0,50,4,0.08
23.0,89.0,50,4,0.08
23.0,90.0,50,4,0.08
23.0,91.0,50,5,0.1
23.0,92.0,50,3,0.06
23.0,93.0,50,3,0.06
23.0,94.0,50,3,0.06
23.0,95.0,50,7,0.14
23.0,96.0,50,3,0.06
23.0,97.0,50,5,0.1
24.0,68.0,50,4,0.08
24.0,69.0,50,4,0.08
24.0,70.0,50,0,0.0
24.0,71.0,50,6,0.12
24.0,72.0,50,2,0.04
24.0,73.0,50,3,0.06
24.0,74.0,50,4,0.08
24.0,75.0,50,8,0.16
24.0,76.0,50,4,0.08
24.0,77.0,50,10,0.2
24.0,78.0,50,6,0.12
24.0,79.0,50,3,0.06
24.0,80.0,50,4,0.08
24.0,81.0,50,6,0.12
24.0,82.0,50,4,0.08
24.0,83.0,50,6,0.12
24.0,84.0,50,7,0.14
24.0,85.0,50,5,0.1
24.0,86.0,50,6,0.12
24.0,87.0,50,9,0.18
24.0,88.0,50,7,0.14
24.0,89.0,50,6,0.12
24.0,90.0,50,3,0.06
24.0,91.0,50,5,0.1
24.0,92.0,50,6,0.12
24.0,93.0,50,7,0.14
24.0,94.0,50,4,0.08
24.0,95.0,50,8,0.16
24.0,96.0,50,2,0.04
24.0,97.0,50,10,0.2
25.0,68.0,50,10,0.2
25.0,69.0,50,4,0.08
25.0,70.0,50,3,0.06
25.0,71.0,50,3,0.06
25.0,72.0,50,6,0.12
25.0,73.0,50,4,0.08
25.0,74.0,50,2,0.04
25.0,75.0,50,5,0.1
25.0,76.0,50,7,0.14
25.0,77.0,50,6,0.12
25.0,78.0,50,7,0.14
25.0,79.0,50,7,0.14
25.0,80.0,50,0,0.0
25.0,81.0,50,6,0.12
25.0,82.0,50,8,0.16
25.0,83.0,50,2,0.04
25.0,84.0,50,7,0.14
25.0,85.0,50,6,0.12
25.0,86.0,50,10,0.2
25.0,87.0,50,5,0.1
25.0,88.0,50,7,0.14
25.0,89.0,50,3,0.06
25.0,90.0,50,1,0.02
25.0,91.0,50,4,0.08
25.0,92.0,50,3,0.06
25.0,93.0,50,3,0.06
25.0,94.0,50,6,0.12
25.0,95.0,50,5,0.1
25.0,96.0,50,6,0.12
25.0,97.0,50,10,0.2
26.0,68.0,50,5,0.1
26.0,69.0,50,7,0.14
26.0,70.0,50,5,0.1
26.0,71.0,50,4,0.08
26.0,72.0,50,4,0.08
26.0,73.0,50,3,0.06
26.0,74.0,50,3,0.06
26.0,75.0,50,2,0.04
26.0,76.0,50,3,0.06
26.0,77.0,50,7,0.14
26.0,78.0,50,6,0.12
26.0,79.0,50,4,0.08
26.0,80.0,50,5,0.1
26.0,81.0,50,2,0.04
26.0,82.0,50,11,0.22
26.0,83.0,50,3,0.06
26.0,84.0,50,2,0.04
26.0,85.0,50,5,0.1
26.0,86.0,50,3,0.06
26.0,87.0,50,7,0.14
26.0,88.0,50,5,0.1
26.0,89.0,50,8,0.16
26.0,90.0,50,9,0.18
26.0,91.0,50,10,0.2
26.0,92.0,50,7,0.14
26.0,93.0,50,5,0.1
26.0,94.0,50,7,0.14
26.0,95.0,50,10,0.2
26.0,96.0,50,3,0.06
26.0,97.0,50,7,0.14
27.0,68.0,50,2,0.04
27.0,69.0,50,6,0.12
27.0,70.0,50,3,0.06
27.0,71.0,50,5,0.1
27.0,72.0,50,6,0.12
27.0,73.0,50,6,0.12
27.0,74.0,50,4,0.08
27.0,75.0,50,1,0.02
27.0,76.0,50,2,0.04
27.0,77.0,50,6,0.12
27.0,78.0,50,6,0.12
27.0,79.0,50,5,0.1
27.0,80.0,50,5,0.1
27.0,81.0,50,5,0.1
27.0,82.0,50,1,0.02
27.0,83.0,50,5,0.1
27.0,84.0,50,3,0.06
27.0,85.0,50,6,0.12
27.0,86.0,50,8,0.16
27.0,87.0,50,6,0.12
27.0,88.0,50,8,0.16
27.0,89.0,50,7,0.14
27.0,90.0,50,8,0.16
27.0,91.0,50,7,0.14
27.0,92.0,50,4,0.08
27.0,93.0,50,4,0.08
27.0,94.0,50,10,0.2
27.0,95.0,50,7,0.14
27.0,96.0,50,4,0.08
27.0,97.0,50,7,0.14
28.0,68.0,50,2,0.04
28.0,69.0,50,8,0.16
28.0,70.0,50,6,0.12
28.0,71.0,50,5,0.1
28.0,72.0,50,1,0.02
28.0,73.0,50,4,0.08
28.0,74.0,50,6,0.12
28.0,75.0,50,4,0.08
28.0,76.0,50,7,0.14
28.0,77.0,50,9,0.18
28.0,78.0,50,5,0.1
28.0,79.0,50,2,0.04
28.0,80.0,50,2,0.04
28.0,81.0,50,3,0.06
28.0,82.0,50,6,0.12
28.0,83.0,50,1,0.02
28.0,84.0,50,3,0.06
28.0,85.0,50,5,0.1
28.0,86.0,50,4,0.08
28.0,87.0,50,7,0.14
28.0,88.0,50,3,0.06
28.0,89.0,50,5,0.1
28.0,90.0,50,3,0.06
28.0,91.0,50,4,0.08
28.0,92.0,50,9,0.18
28.0,93.0,50,5,0.1
28.0,94.0,50,3,0.06
28.0,95.0,50,4,0.08
28.0,96.0,50,6,0.12
28.0,97.0,50,3,0.06
29.0,68.0,50,5,0.1
29.0,69.0,50,8,0.16
29.0,70.0,50,6,0.12
29.0,71.0,50,4,0.08
29.0,72.0,50,5,0.1
29.0,73.0,50,3,0.06
29.0,74.0,50,8,0.16
29.0,75.0,50,5,0.1
29.0,76.0,50,10,0.2
29.0,77.0,50,4,0.08
29.0,78.0,50,5,0.1
29.0,79.0,50,7,0.14
29.0,80.0,50,7,0.14
29.0,81.0,50,4,0.08
29.0,82.0,50,1,0.02
29.0,83.0,50,6,0.12
29.0,84.0,50,5,0.1
29.0,85.0,50,4,0.08
29.0,86.0,50,8,0.16
29.0,87.0,50,6,0.12
29.0,88.0,50,5,0.1
29.0,89.0,50,10,0.2
29.0,90.0,50,6,0.12
29.0,91.0,50,5,0.1
29.0,92.0,50,3,0.06
29.0,93.0,50,4,0.08
29.0,94.0,50,5,0.1
29.0,95.0,50,6,0.12
29.0,96.0,50,3,0.06
29.0,97.0,50,5,0.1
30.0,68.0,50,5,0.1
30.0,69.0,50,3,0.06
30.0,70.0,50,8,0.16
30.0,71.0,50,5,0.1
30.0,72.0,50,6,0.12
30.0,73.0,50,9,0.18
30.0,74.0,50,9,0.18
30.0,75.0,50,5,0.1
30.0,76.0,50,4,0.08
30.0,77.0,50,5,0.1
30.0,78.0,50,6,0.12
30.0,79.0,50,6,0.12
30.0,80.0,50,6,0.12
30.0,81.0,50,3,0.06
30.0,82.0,50,4,0.08
30.0,83.0,50,2,0.04
30.0,84.0,50,5,0.1
30.0,85.0,50,7,0.14
30.0,86.0,50,4,0.08
30.0,87.0,50,7,0.14
30.0,88.0,50,3,0.06
30.0,89.0,50,7,0.14
30.0,90.0,50,7,0.14
30.0,91.0,50,6,0.12
30.0,92.0,50,3,0.06
30.0,93.0,50,8,0.16
30.0,94.0,50,2,0.04
30.0,95.0,50,7,0.14
30.0,96.0,50,9,0.18
30.0,97.0,50,5,0.1
31.0,68.0,50,4,0.08
31.0,69.0,50,8,0.16
31.0,70.0,50,8,0.16
31.0,71.0,50,3,0.06
31.0,72.0,50,4,0.08
31.0,73.0,50,8,0.16
31.0,74.0,50,3,0.06
31.0,75.0,50,5,0.1
31.0,76.0,50,5,0.1
31.0,77.0,50,3,0.06
31.0,78.0,50,4,0.08
31.0,79.0,50,1,0.02
31.0,80.0,50,5,0.1
31.0,81.0,50,5,0.1
31.0,82.0,50,4,0.08
31.0,83.0,50,5,0.1
31.0,84.0,50,5,0.1
31.0,85.0,50,4,0.08
31.0,86.0,50,5,0.1
31.0,87.0,50,5,0.1
31.0,88.0,50,7,0.14
31.0,89.0,50,4,0.08
31.0,90.0,50,5,0.1
31.0,91.0,50,2,0.04
31.0,92.0,50,6,0.12
31.0,93.0,50,2,0.04
31.0,94.0,50,7,0.14
31.0,95.0,50,5,0.1
31.0,96.0,50,6,0.12
31.0,97.0,50,6,0.12
32.0,68.0,50,4,0.08
32.0,69.0,50,4,0.08
32.0,70.0,50,2,0.04
32.0,71.0,50,2,0.04
32.0,72.0,50,6,0.12
32.0,73.0,50,6,0.12
32.0,74.0,50,6,0.12
32.0,75.0,50,4,0.08
32.0,76.0,50,3,0.06
32.0,77.0,50,2,0.04
32.0,78.0,50,1,0.02
32.0,79.0,50,4,0.08
32.0,80.0,50,4,0.08
32.0,81.0,50,11,0.22
32.0,82.0,50,8,0.16
32.0,83.0,50,4,0.08
32.0,84.0,50,2,0.04
32.0,85.0,50,5,0.1
32.0,86.0,50,9,0.18
32.0,87.0,50,3,0.06
32.0,88.0,50,6,0.12
32.0,89.0,50,7,0.14
32.0,90.0,50,3,0.06
32.0,91.0,50,6,0.12
32.0,92.0,50,6,0.12
32.0,93.0,50,11,0.22
32.0,94.0,50,1,0.02
32.0,95.0,50,1,0.02
32.0,96.0,50,2,0.04
32.0,97.0,50,5,0.1
33.0,68.0,50,5,0.1
33.0,69.0,50,5,0.1
33.0,70.0,50,10,0.2
33.0,71.0,50,6,0.12
33.0,72.0,50,5,0.1
33.0,73.0,50,6,0.12
33.0,74.0,50,3,0.06
33.0,75.0,50,5,0.1
33.0,76.0,50,1,0.02
33.0,77.0,50,3,0.06
33.0,78.0,50,5,0.1
33.0,79.0,50,8,0.16
33.0,80.0,50,4,0.08
33.0,81.0,50,3,0.06
33.0,82.0,50,8,0.16
33.0,83.0,50,2,0.04
33.0,84.0,50,8,0.16
33.0,85.0,50,5,0.1
33.0,86.0,50,2,0.04
33.0,87.0,50,4,0.08
33.0,88.0,50,3,0.06
33.0,89.0,50,6,0.12
33.0,90.0,50,5,0.1
33.0,91.0,50,4,0.08
33.0,92.0,50,2,0.04
33.0,93.0,50,6,0.12
33.0,94.0,50,4,0.08
33.0,95.0,50,4,0.08
33.0,96.0,50,3,0.06
33.0,97.0,50,7,0.14
34.0,68.0,50,4,0.08
34.0,69.0,50,3,0.06
34.0,70.0,50,4,0.08
34.0,71.0,50,4,0.08
34.0,72.0,50,7,0.14
34.0,73.0,50,4,0.08
34.0,74.0,50,1,0.02
34.0,75.0,50,8,0.16
34.0,76.0,50,3,0.06
34.0,77.0,50,6,0.12
34.0,78.0,50,3,0.06
34.0,79.0,50,4,0.08
34.0,80.0,50,5,0.1
34.0,81.0,50,5,0.1
34.0,82.0,50,3,0.06
34.0,83.0,50,4,0.08
34.0,84.0,50,2,0.04
34.0,85.0,50,10,0.2
34.0,86.0,50,5,0.1
34.0,87.0,50,7,0.14
34.0,88.0,50,2,0.04
34.0,89.0,50,3,0.06
34.0,90.0,50,2,0.04
34.0,91.0,50,4,0.08
34.0,92.0,50,6,0.12
34.0,93.0,50,4,0.08
34.0,94.0,50,3,0.06
34.0,95.0,50,5,0.1
34.0,96.0,50,6,0.12
34.0,97.0,50,1,0.02
35.0,68.0,50,4,0.08
35.0,69.0,50,4,0.08
35.0,70.0,50,4,0.08
35.0,71.0,50,5,0.1
35.0,72.0,50,1,0.02
35.0,73.0,50,4,0.08
35.0,74.0,50,3,0.06
35.0,75.0,50,5,0.1
35.0,76.0,50,4,0.08
35.0,77.0,50,3,0.06
35.0,78.0,50,6,0.12
35.0,79.0,50,3,0.06
35.0,80.0,50,2,0.04
35.0,81.0,50,5,0.1
35.0,82.0,50,7,0.14
35.0,83.0,50,5,0.1
35.0,84.0,50,6,0.12
35.0,85.0,50,9,0.18
35.0,86.0,50,4,0.08
35.0,87.0,50,3,0.06
35.0,88.0,50,5,0.1
35.0,89.0,50,7,0.14
35.0,90.0,50,6,0.12
35.0,91.0,50,6,0.12
35.0,92.0,50,3,0.06
35.0,93.0,50,6,0.12
35.0,94.0,50,4,0.08
35.0,95.0,50,6,0.12
35.0,96.0,50,9,0.18
35.0,97.0,50,11,0.22
36.0,68.0,50,12,0.24
36.0,69.0,50,7,0.14
36.0,70.0,50,7,0.14
36.0,71.0,50,4,0.08
36.0,72.0,50,6,0.12
36.0,73.0,50,6,0.12
36.0,74.0,50,2,0.04
36.0,75.0,50,4,0.08
36.0,76.0,50,4,0.08
36.0,77.0,50,2,0.04
36.0,78.0,50,6,0.12
36.0,79.0,50,5,0.1
36.0,80.0,50,1,0.02
36.0,81.0,50,5,0.1
36.0,82.0,50,7,0.14
36.0,83.0,50,8,0.16
36.0,84.0,50,5,0.1
36.0,85.0,50,3,0.06
36.0,86.0,50,3,0.06
36.0,87.0,50,3,0.06
36.0,88.0,50,3,0.06
36.0,89.0,50,5,0.1
36.0,90.0,50,7,0.14
36.0,91.0,50,5,0.1
36.0,92.0,50,4,0.08
36.0,93.0,50,7,0.14
36.0,94.0,50,6,0.12
36.0,95.0,50,7,0.14
36.0,96.0,50,4,0.08
36.0,97.0,50,3,0.06
37.0,68.0,50,2,0.04
